,Dice,FN,FP,IoU,TN,TP,n_pred,n_ref,Case,Class
0,0.9437417306165652,244,819,0.893476300230484,8918021,8916,9735,9160,BraTS20_002,1
1,0.8647159870637122,6246,7851,0.7616737109044801,8868850,45053,52904,51299,BraTS20_002,2
2,0.8665877712031558,1057,634,0.7645830432966727,8920817,5492,6126,6549,BraTS20_002,3
3,0.4329004329004329,107,24,0.27624309392265195,8927819,50,74,157,BraTS20_008,1
4,0.8345571597494927,3494,7839,0.7160858781972593,8888083,28584,36423,32078,BraTS20_008,2
5,0.881445570736007,211,58,0.7880220646178093,8926731,1000,1058,1211,BraTS20_008,3
6,0.6648563167899302,4548,16433,0.4979661179173048,8886208,20811,37244,25359,BraTS20_009,1
7,0.8630761537782745,18808,9122,0.7591327745006726,8812044,88026,97148,106834,BraTS20_009,2
8,0.7426614251076952,19352,2512,0.5906614494598693,8874587,31549,34061,50901,BraTS20_009,3
9,0.6617993934628776,3421,2601,0.49454423367466843,8916086,5892,8493,9313,BraTS20_014,1
10,0.8759076856711482,4096,9712,0.7792133034857691,8865460,48732,58444,52828,BraTS20_014,2
11,0.8506770243297189,2486,3050,0.7401548932175546,8906695,15769,18819,18255,BraTS20_014,3
12,0.5911504424778761,1497,120,0.41959798994974873,8925214,1169,1289,2666,BraTS20_021,1
13,0.7521136509715378,8371,6670,0.602710055733115,8890141,22818,29488,31189,BraTS20_021,2
14,0.8428681572860447,270,749,0.728411513859275,8924248,2733,3482,3003,BraTS20_021,3
15,0.8399678686183506,3005,581,0.7240901746556898,8915003,9411,9992,12416,BraTS20_022,1
16,0.9044234617950428,2232,5218,0.8255228459682896,8885301,35249,40467,37481,BraTS20_022,2
17,0.885828743114672,2300,1804,0.7950561797752809,8907975,15921,17725,18221,BraTS20_022,3
18,0.6286815158872585,12035,2035,0.45845040606597126,8902019,11911,13946,23946,BraTS20_035,1
19,0.7799040728396065,6623,6914,0.6392153727246076,8890479,23984,30898,30607,BraTS20_035,2
20,0.8295776998831581,1897,7292,0.7087849401026811,8896446,22365,29657,24262,BraTS20_035,3
21,0.4298974108451392,1148,19,0.2738021157436217,8926393,440,459,1588,BraTS20_049,1
22,0.9051281522568406,9939,3864,0.8266978040604166,8848353,65844,69708,75783,BraTS20_049,2
23,0.8711509715994021,219,1505,0.7717161016949152,8920448,5828,7333,6047,BraTS20_049,3
24,0.8776480235683589,6764,1293,0.7819721816312172,8891046,28897,30190,35661,BraTS20_050,1
25,0.8118464755812523,1548,4570,0.6832841538541181,8908683,13199,17769,14747,BraTS20_050,2
26,0.8680980713402892,2170,7008,0.766937531742001,8888620,30202,37210,32372,BraTS20_050,3
27,0.8623101036894141,873,269,0.7579482831708351,8923282,3576,3845,4449,BraTS20_051,1
28,0.9094866271764495,2681,17489,0.8339986008806222,8806495,101335,118824,104016,BraTS20_051,2
29,0.8916031733563742,1754,1006,0.8044079087236907,8913889,11351,12357,13105,BraTS20_051,3
30,0.6923946557040083,5658,328,0.5295134795252692,8915277,6737,7065,12395,BraTS20_053,1
31,0.938157528108503,3850,12574,0.8835185566059816,8786999,124577,137151,128427,BraTS20_053,2
32,0.8755929279862009,953,1355,0.7787152444870565,8917570,8122,9477,9075,BraTS20_053,3
33,0.7589252160841788,2551,15,0.6115064345193035,8921395,4039,4054,6590,BraTS20_055,1
34,0.9369090167670129,5580,7571,0.8813065217783714,8817202,97647,105218,103227,BraTS20_055,2
35,0.8537660048727386,342,2479,0.7448444283646889,8916944,8235,10714,8577,BraTS20_055,3
36,0.5078616352201258,578,48,0.3403582718651212,8927051,323,371,901,BraTS20_059,1
37,0.792851817545128,6298,2871,0.6567974247641862,8901284,17547,20418,23845,BraTS20_059,2
38,0.8662026295436969,52,294,0.7639836289222374,8926534,1120,1414,1172,BraTS20_059,3
39,0.806935843448105,2673,1224,0.6763557844032888,8915959,8144,9368,10817,BraTS20_072,1
40,0.5608516891522192,4898,51284,0.38971083447391863,8835942,35876,87160,40774,BraTS20_072,2
41,0.9059431665891748,4474,2404,0.8280585970701465,8887998,33124,35528,37598,BraTS20_072,3
42,0.9476824720298348,336,646,0.9005670311867152,8918124,8894,9540,9230,BraTS20_081,1
43,0.8570820474619559,1771,2258,0.7499068901303538,8911890,12081,14339,13852,BraTS20_081,2
44,0.8291244239631337,1703,1078,0.7081234256926953,8918472,6747,7825,8450,BraTS20_081,3
45,0.6209634015069968,5440,194,0.45028783295931313,8917751,4615,4809,10055,BraTS20_084,1
46,0.8625505068405755,5178,2578,0.7583198304873489,8895908,24336,26914,29514,BraTS20_084,2
47,0.8445459336026699,678,5517,0.7309212526603831,8904977,16828,22345,17506,BraTS20_084,3
48,0.7753623188405797,277,901,0.6331360946745562,8924789,2033,2934,2310,BraTS20_088,1
49,0.750490684542682,6298,1965,0.6006283228612856,8907310,12427,14392,18725,BraTS20_088,2
50,0.8305732484076433,2447,479,0.710239651416122,8917902,7172,7651,9619,BraTS20_088,3
51,0.20907297830374755,3,799,0.11674008810572688,8927092,106,905,109,BraTS20_089,1
52,0.8286681112529313,27902,6730,0.7074579965028762,8809617,83751,90481,111653,BraTS20_089,2
53,0.9570267779856477,1444,95,0.9175947740415507,8909324,17137,17232,18581,BraTS20_089,3
54,0.9801435171532488,96,308,0.9610602409638554,8917625,9971,10279,10067,BraTS20_090,1
55,0.8178004441885334,1086,3344,0.6917617589757863,8913628,9942,13286,11028,BraTS20_090,2
56,0.9399280243609855,778,524,0.8866643454038997,8916512,10186,10710,10964,BraTS20_090,3
57,0.8657028550645572,704,2250,0.7632064128256513,8915525,9521,11771,10225,BraTS20_092,1
58,0.7988273297320774,846,6565,0.6650395480225989,8905875,14714,21279,15560,BraTS20_092,2
59,0.9119679585036359,4894,469,0.8381811598575826,8894858,27779,28248,32673,BraTS20_092,3
60,0.9419286330553281,4606,644,0.8902316634607343,8880172,42578,43222,47184,BraTS20_100,1
61,0.9428166902640127,1451,5415,0.8918194995903448,8864532,56602,62017,58053,BraTS20_100,2
62,0.8993556780868596,982,5516,0.8171174467366525,8892469,29033,34549,30015,BraTS20_100,3
63,0.8275368630622784,656,4888,0.7058105598301937,8909155,13301,18189,13957,BraTS20_103,1
64,0.47439863627754275,3223,5102,0.31095845058765104,8915918,3757,8859,6980,BraTS20_103,2
65,0.849998473422282,9431,395,0.739128126161525,8890334,27840,28235,37271,BraTS20_103,3
66,0.9475349210239045,1623,732,0.9003005799923797,8904379,21266,21998,22889,BraTS20_104,1
67,0.9550123572921335,3267,6872,0.9138982302387989,8810244,107617,114489,110884,BraTS20_104,2
68,0.9590689659888134,847,2146,0.9213568763466289,8889942,35065,37211,35912,BraTS20_104,3
69,0.9166872072960316,942,410,0.8461888509670079,8919210,7438,7848,8380,BraTS20_111,1
70,0.8942879023952254,460,3543,0.8087891091473609,8907065,16932,20475,17392,BraTS20_111,2
71,0.9322351604657768,1158,1228,0.8730716033620598,8909202,16412,17640,17570,BraTS20_111,3
72,0.9689562454167685,81,46,0.9397818871503082,8925891,1982,2028,2063,BraTS20_122,1
73,0.9269670992768546,1233,292,0.8638757475676159,8916797,9678,9970,10911,BraTS20_122,2
74,0.948913193963727,184,185,0.9027924130663857,8924204,3427,3612,3611,BraTS20_122,3
75,0.9207980069139999,3350,751,0.8532211882605584,8900060,23839,24590,27189,BraTS20_130,1
76,0.824931706737703,4431,16205,0.7020287343874089,8858745,48619,64824,53050,BraTS20_130,2
77,0.8941032928117607,1440,5677,0.808487164307626,8890838,30045,35722,31485,BraTS20_130,3
78,0.3837510803802939,662,764,0.2374331550802139,8926130,444,1208,1106,BraTS20_131,1
79,0.9066074041953494,3558,6780,0.8291691453499901,8867484,50178,56958,53736,BraTS20_131,2
80,0.8968028638439699,954,718,0.8129126104956921,8919063,7265,7983,8219,BraTS20_131,3
81,0.30821568293927537,3508,559,0.1821837924793887,8923027,906,1465,4414,BraTS20_132,1
82,0.8997959934910571,17489,11638,0.8178446798664182,8768098,130775,142413,148264,BraTS20_132,2
83,0.9253568257870655,925,2354,0.8610828673106253,8904396,20325,22679,21250,BraTS20_132,3
84,0.8967470977455525,4279,933,0.8128209732447477,8900155,22633,23566,26912,BraTS20_134,1
85,0.7633763692035733,11233,3759,0.6173069559668156,8888825,24183,27942,35416,BraTS20_134,2
86,0.80572154773815,3455,3730,0.6746513312805651,8905916,14899,18629,18354,BraTS20_134,3
87,0.760388975594697,19730,8212,0.6134093361742162,8855722,44336,52548,64066,BraTS20_135,1
88,0.7994969849663128,18385,27534,0.665968327404724,8790531,91550,119084,109935,BraTS20_135,2
89,0.8866563235724902,2517,7930,0.7963904967939348,8876691,40862,48792,43379,BraTS20_135,3
90,0.6651637399145705,2746,76,0.4983111111111111,8922375,2803,2879,5549,BraTS20_150,1
91,0.9395166134736028,7227,4352,0.885932420451187,8826490,89931,94283,97158,BraTS20_150,2
92,0.9541732299892552,861,3532,0.9123625989985437,8877873,45734,49266,46595,BraTS20_150,3
93,0.955458460377833,679,738,0.914715618417093,8911385,15198,15936,15877,BraTS20_152,1
94,0.9591611236727914,9324,1838,0.9215269966254218,8785760,131078,132916,140402,BraTS20_152,2
95,0.9648402698230877,713,1497,0.9320689761165586,8895467,30323,31820,31036,BraTS20_152,3
96,0.86721044045677,942,1093,0.7655529953917051,8919320,6645,7738,7587,BraTS20_161,1
97,0.8839069975837294,6467,788,0.7919653610139359,8893126,27619,28407,34086,BraTS20_161,2
98,0.8898071625344353,486,2394,0.8014888337468983,8913492,11628,14022,12114,BraTS20_161,3
99,0.9358813373096845,1263,371,0.8794896378788997,8914441,11925,12296,13188,BraTS20_164,1
100,0.5688653930874285,40399,2661,0.39749258409358035,8856532,28408,31069,68807,BraTS20_164,2
101,0.937712501445588,2833,2553,0.8827294896359519,8882072,40542,43095,43375,BraTS20_164,3
102,0.17592217267936766,8101,31,0.09644444444444444,8919000,868,899,8969,BraTS20_167,1
103,0.8772203676712587,7880,5177,0.7812934456709267,8868299,46644,51821,54524,BraTS20_167,2
104,0.8319137841126368,525,6244,0.712202380952381,8904480,16751,22995,17276,BraTS20_167,3
105,0.8427180848586465,2931,446,0.7281873792659369,8915576,9047,9493,11978,BraTS20_170,1
106,0.9269042880405283,8058,2446,0.8637666498061035,8850897,66599,69045,74657,BraTS20_170,2
107,0.9308672361372521,365,1545,0.870675062631187,8913231,12859,14404,13224,BraTS20_170,3
108,0.9122574224581191,419,110,0.8386703263189997,8924721,2750,2860,3169,BraTS20_172,1
109,0.9390435630559812,2072,991,0.8850915366146459,8901344,23593,24584,25665,BraTS20_172,2
110,0.9475982532751092,97,887,0.9004149377593361,8918119,8897,9784,8994,BraTS20_172,3
111,0.787112874328129,3712,2942,0.6489580585597468,8909045,12301,15243,16013,BraTS20_175,1
112,0.8667946386854534,14677,8986,0.7649051692448312,8827347,76990,85976,91667,BraTS20_175,2
113,0.9093147979147654,6272,8236,0.8337096681758267,8840755,72737,80973,79009,BraTS20_175,3
114,0.852477165790202,179,354,0.7428847081524361,8925927,1540,1894,1719,BraTS20_188,1
115,0.7626770625360748,18755,6326,0.616392891009758,8862618,40301,46627,59056,BraTS20_188,2
116,0.8314701539759545,1016,1381,0.7115523465703971,8919690,5913,7294,6929,BraTS20_188,3
117,0.8824666050575485,1149,250,0.7896556908735528,8921349,5252,5502,6401,BraTS20_189,1
118,0.9390853768753389,6265,1823,0.8851658337119491,8857568,62344,64167,68609,BraTS20_189,2
119,0.9694489043667036,690,661,0.9407092074080575,8905214,21435,22096,22125,BraTS20_189,3
120,0.2863070539419087,257,87,0.16707021791767554,8927587,69,156,326,BraTS20_190,1
121,0.8498132813768469,6399,3776,0.7388481084133258,8889038,28787,32563,35186,BraTS20_190,2
122,0.8875733949369525,548,1788,0.7978714199186641,8916443,9221,11009,9769,BraTS20_190,3
123,0.9726206756088336,674,267,0.9467006513735485,8910345,16714,16981,17388,BraTS20_192,1
124,0.9399638310495428,7138,1261,0.8867280745525901,8853851,65750,67011,72888,BraTS20_192,2
125,0.9532960780843047,1025,822,0.9107600135285308,8907303,18850,19672,19875,BraTS20_192,3
126,0.7399620012666245,693,1360,0.587253719340571,8923026,2921,4281,3614,BraTS20_199,1
127,0.9057024497519562,428,8791,0.8276564719958125,8874508,44273,53064,44701,BraTS20_199,2
128,0.9269822631481367,3533,1193,0.8639020878329734,8893275,29999,31192,33532,BraTS20_199,3
129,0.33306645316253003,111,722,0.19980787704130643,8926959,208,930,319,BraTS20_206,1
130,0.8296098873820908,2166,4355,0.7088319342739775,8905604,15875,20230,18041,BraTS20_206,2
131,0.9350570649429351,467,176,0.8780349013657056,8922728,4629,4805,5096,BraTS20_206,3
132,0.7857256820720098,2671,1358,0.6470742817098809,8916584,7387,8745,10058,BraTS20_215,1
133,0.8182711859841905,288,13207,0.6924356724479795,8884123,30382,43589,30670,BraTS20_215,2
134,0.9019869423726072,3632,1217,0.8214719634770443,8900839,22312,23529,25944,BraTS20_215,3
135,0.3120963518938733,7644,4179,0.18490175801447778,8913495,2682,6861,10326,BraTS20_236,1
136,0.8628293677044001,7411,25974,0.7587510116776506,8789616,104999,130973,112410,BraTS20_236,2
137,0.6282516467567266,24673,1965,0.45799336683826075,8878853,22509,24474,47182,BraTS20_236,3
138,0.8410855120163945,1997,562,0.7257528667881256,8918669,6772,7334,8769,BraTS20_242,1
139,0.7760431058303399,1860,7866,0.6340444745456598,8901423,16851,24717,18711,BraTS20_242,2
140,0.854036180968429,616,8566,0.7452557984685384,8891956,26862,35428,27478,BraTS20_242,3
141,0.8550172437162091,7230,2397,0.7467511969274477,8889986,28387,30784,35617,BraTS20_244,1
142,0.9349475197699497,5768,5543,0.877841737496355,8835407,81282,86825,87050,BraTS20_244,2
143,0.7722634830290831,4685,8439,0.6290140208050656,8892624,22252,30691,26937,BraTS20_244,3
144,0.011454753722794959,42,821,0.00576036866359447,8927132,5,826,47,BraTS20_250,1
145,0.8984777383541261,3801,11278,0.8156691604322527,8846196,66725,78003,70526,BraTS20_250,2
146,0.7622531089978054,1134,166,0.6158392434988179,8924616,2084,2250,3218,BraTS20_250,3
147,0.6163389513108615,6428,128,0.4454407037726273,8916178,5266,5394,11694,BraTS20_253,1
148,0.8581998959477426,2642,2264,0.7516200891049007,8908248,14846,17110,17488,BraTS20_253,2
149,0.8329448782193217,404,5330,0.7137151130860253,8907971,14295,19625,14699,BraTS20_253,3
150,0.8553188330487714,8785,960,0.7472114137483787,8889450,28805,29765,37590,BraTS20_258,1
151,0.8771069619877336,7187,7300,0.781113545365264,8861815,51698,58998,58885,BraTS20_258,2
152,0.907383711499991,1085,4054,0.8304687757727708,8897687,25174,29228,26259,BraTS20_258,3
153,0.7825747457104696,9694,887,0.6428113290348716,8898377,19042,19929,28736,BraTS20_266,1
154,0.7287500463770267,4896,9726,0.5732547279943965,8893736,19642,29368,24538,BraTS20_266,2
155,0.0,0,234,0.0,8927766,0,234,0,BraTS20_266,3
156,0.27977738992985807,41545,2197,0.16264022359202113,8875762,8496,10693,50041,BraTS20_267,1
157,0.46200236836643754,5406,38663,0.30039211950913625,8865009,18922,57585,24328,BraTS20_267,2
158,0.7077147724507179,2348,54,0.5476459510357815,8922690,2908,2962,5256,BraTS20_267,3
159,0.8811721306429386,17748,7345,0.787585074323638,8809868,93039,100384,110787,BraTS20_273,1
160,0.7176025965941932,38121,25393,0.5595789532077774,8783788,80698,106091,118819,BraTS20_273,2
161,0.5225995052844614,114,2009,0.3537290715372907,8924715,1162,3171,1276,BraTS20_273,3
162,0.32879377431906615,1163,217,0.19674039580908032,8926282,338,555,1501,BraTS20_276,1
163,0.9308986752595775,4336,2805,0.87073007367716,8872759,48100,50905,52436,BraTS20_276,2
164,0.8105130626377085,0,1204,0.681397195025139,8924221,2575,3779,2575,BraTS20_276,3
165,0.8919257149733264,23842,3102,0.8049331412395838,8789873,111183,114285,135025,BraTS20_279,1
166,0.6576220648527767,10034,8338,0.48989338071968014,8891984,17644,25982,27678,BraTS20_279,2
167,0.0,0,1439,0.0,8926561,0,1439,0,BraTS20_279,3
168,0.09696036937283571,9,2338,0.0509502628386575,8925527,126,2464,135,BraTS20_280,1
169,0.9379743179013156,2692,2032,0.8831936305417502,8887557,35719,37751,38411,BraTS20_280,2
170,0.7603833865814696,215,85,0.6134020618556701,8927224,476,561,691,BraTS20_280,3
171,0.2234808702175544,12865,49241,0.12579705248933745,8856957,8937,58178,21802,BraTS20_281,1
172,0.6307483076048676,59118,13646,0.4606518371370755,8793089,62147,75793,121265,BraTS20_281,2
173,0.0,0,171,0.0,8927829,0,171,0,BraTS20_281,3
174,0.8501981823965883,572,16851,0.7394301951693711,8861135,49442,66293,50014,BraTS20_292,1
175,0.6277244563236545,10274,5047,0.45743324598059354,8899762,12917,17964,23191,BraTS20_292,2
176,0.4692562951395667,2613,106,0.3065544503953073,8924079,1202,1308,3815,BraTS20_292,3
177,0.8648293963254593,1913,26927,0.761849710982659,8806900,92260,119187,94173,BraTS20_307,1
178,0.6044691637544913,29020,3124,0.43314640426057205,8871294,24562,27686,53582,BraTS20_307,2
179,0.015267175572519083,31,98,0.007692307692307693,8927870,1,99,32,BraTS20_307,3
180,0.7949149576749266,28115,5876,0.6596339094386477,8828134,65875,71751,93990,BraTS20_310,1
181,0.7169287105117848,19705,28996,0.5587598416279344,8817627,61672,90668,81377,BraTS20_310,2
182,,0,0,,8928000,0,0,0,BraTS20_310,3
183,0.4141914191419142,185,1235,0.2611862643080125,8926078,502,1737,687,BraTS20_314,1
184,0.5471990283892516,14803,110,0.37665106169536866,8904076,9011,9121,23814,BraTS20_314,2
185,0.8965392281210364,336,235,0.81247947454844,8924955,2474,2709,2810,BraTS20_314,3
186,0.886634459452568,27624,5721,0.7963552195235158,8764259,130396,136117,158020,BraTS20_318,1
187,0.6941181508071307,3679,39183,0.5315321223249612,8836506,48632,87815,52311,BraTS20_318,2
188,0.2383857343969967,1601,22,0.13532232285562068,8926123,254,276,1855,BraTS20_318,3
189,0.6367892168968943,66144,37,0.46712454507391543,8803804,58015,58052,124159,BraTS20_326,1
190,0.0,0,42348,0.0,8885652,0,42348,0,BraTS20_326,2
191,0.3647994467496542,139,3535,0.22309156269824487,8923271,1055,4590,1194,BraTS20_326,3
192,0.02842624078248577,65,25364,0.014418045812177822,8902199,372,25736,437,BraTS20_332,1
193,0.676746429277023,24963,2852,0.5114261123113945,8871069,29116,31968,54079,BraTS20_332,2
194,0.8606382978723405,311,213,0.7553688141923436,8925858,1618,1831,1929,BraTS20_332,3
195,0.716529194432166,17197,16792,0.5582746341590206,8851054,42957,59749,60154,BraTS20_335,1
196,0.6587795673911278,31577,14628,0.4911791912606819,8837192,44603,59231,76180,BraTS20_335,2
197,0.0,0,714,0.0,8927286,0,714,0,BraTS20_335,3
198,0.9037778121137207,4635,347,0.8244476549561295,8899621,23397,23744,28032,BraTS20_343,1
199,0.8790418002280403,14483,8007,0.7841878496511885,8823789,81721,89728,96204,BraTS20_343,2
200,0.9176436986790432,1035,4732,0.8478203504327634,8890104,32129,36861,33164,BraTS20_343,3
201,0.020876826722338204,205,264,0.010548523206751054,8927526,5,269,210,BraTS20_345,1
202,0.8396614947192445,20827,5452,0.7236349486791183,8832912,68809,74261,89636,BraTS20_345,2
203,0.8668581488001482,1264,173,0.7650040883074407,8921885,4678,4851,5942,BraTS20_345,3
204,0.9161290322580645,346,993,0.8452380952380952,8919348,7313,8306,7659,BraTS20_347,1
205,0.9699603634834253,2967,1747,0.941672853254145,8847180,76106,77853,79073,BraTS20_347,2
206,0.9566647479648055,1614,494,0.9169293820933165,8902624,23268,23762,24882,BraTS20_347,3
207,0.96826688364524,240,111,0.9384858044164038,8922294,5355,5466,5595,BraTS20_353,1
208,0.963936507936508,1459,813,0.9303836254442946,8895364,30364,31177,31823,BraTS20_353,2
209,0.9160861304623179,441,1149,0.8451650598889863,8917731,8679,9828,9120,BraTS20_353,3
210,0.9263266357547656,168,1405,0.8627639155470249,8916538,9889,11294,10057,BraTS20_357,1
211,0.8862206028486254,2494,5750,0.7956877323420074,8887650,32106,37856,34600,BraTS20_357,2
212,0.8741288885695812,2541,963,0.7764022717120797,8912329,12167,13130,14708,BraTS20_357,3
213,0.9178296135825482,1424,1838,0.8481378026070764,8906520,18218,20056,19642,BraTS20_364,1
214,0.9316933662155721,2904,3688,0.8721216706434655,8876451,44957,48645,47861,BraTS20_364,2
215,0.8978822368652877,5027,769,0.814688109473415,8896723,25481,26250,30508,BraTS20_364,3
216,0.9147097416406498,373,3397,0.8428249812390561,8904014,20216,23613,20589,BraTS20_369,1
217,0.9442699469416358,10605,7209,0.8944236684426691,8759269,150917,158126,161522,BraTS20_369,2
218,0.9534097468458811,2254,1701,0.9109675386069965,8883578,40467,42168,42721,BraTS20_369,3
